"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Damian Collins ","@DamianCollins","Conservative","Folkestone and Hythe",30484,3
"Daisy Cooper","@libdemdaisy","Liberal Democrat","St Albans",32467,6
"Crispin Blunt ","@CrispinBlunt","Conservative","Reigate",12752,5
"Craig Williams ","@craig4monty","Conservative","Montgomeryshire",6053,1
"Craig Whittaker ","@CWhittaker_MP","Conservative","Calder Valley",10096,-1
"Craig Tracey ","@craig4nwarks","Conservative","North Warwickshire",11111,0
"Craig Mackinlay ","@cmackinlay","Conservative","South Thanet",14667,1
"Conor McGinn ","@ConorMcGinn","Labour","St Helens North",18486,1
"Conor Burns","@ConorBurnsUK","Independent","Bournemouth West",27664,0
"Colum Eastwood","@columeastwood","Social Democratic and Labour Party","Foyle",54643,4
"Clive Lewis ","@labourlewis","Labour","Norwich South",128686,-5
"Clive Efford ","@CliveEfford","Labour","Eltham",16159,-1
"Claudia Webbe","@ClaudiaWebbe","Independent","Leicester East",83149,-8
"Claire Hanna","@ClaireHanna","Social Democratic and Labour Party","Belfast South",46194,10
"Claire Coutinho","@ClaireCoutinho","Conservative","East Surrey",12705,-1
"Christopher Pincher ","@ChrisPincher","Independent","Tamworth",21170,1
"Christopher Hazzard","@ChrisHazzardSF","Sinn Féin","South Down",26875,-2
"Christine Jardine","@cajardineMP","Liberal Democrat","Edinburgh West",15618,8
"Christina Rees ","@Rees4Neath","Labour","Neath",12598,2
"Christian Wakeford","@Christian4BuryS","Labour","Bury South",16762,3
"Chris Stephens ","@ChrisStephens","Scottish National Party","Glasgow South West",17988,8
"Chris Skidmore","@CSkidmoreUK","Conservative","Kingswood",31688,7
"Chris Philp ","@CPhilpOfficial","Conservative","Croydon South",18641,4
"Chris Loder","@chrisloder","Conservative","West Dorset",7691,-1
"Chris Law ","@ChrisLawSNP","Scottish National Party","Dundee West",21072,18
"Chris Heaton-Harris ","@chhcalling","Conservative","Daventry",35026,9
"Chris Green","@CGreenUK","Conservative","Bolton West",14798,2
"Chris Evans","@Chris_EvansMP","Labour","Islwyn",7769,3
"Chris Elmore ","@CPJElmore","Labour","Ogmore",16660,1
"Chris Clarkson","@ChrisClarksonMP","Conservative","Heywood and Middleton",7557,-2
"Chris Bryant ","@RhonddaBryant","Labour","Rhondda",291227,178
"Chloe Smith","@NorwichChloe","Conservative","Norwich North",23782,6
"Chi Onwurah ","@ChiOnwurah","Labour","Newcastle upon Tyne Central",47875,7
"Cherilyn Mackrory","@thisischerilyn","Conservative","Truro and Falmouth",4935,0
"Charlotte Nichols","@charlotte2153","Labour","Warrington North",27356,5
"Charles Walker","@CharlesWalkerMP","Conservative","Broxbourne",33544,-5
"Catherine West ","@CatherineWest1","Labour","Hornsey and Wood Green",34947,3
"Catherine McKinnell ","@CatMcKinnell","Labour","Newcastle upon Tyne North",30240,0
"Cat Smith ","@CatSmithMP","Labour","Lancaster and Fleetwood",45227,-2
"Carolyn Harris ","@carolynharris24","Labour","Swansea East",35870,12
"Caroline Nokes","@carolinenokes","Conservative","Romsey and Southampton North",30507,0
"Caroline Lucas ","@CarolineLucas","Green Party","Brighton, Pavilion",630213,155
"Caroline Dinenage ","@cj_dinenage","Conservative","Gosport",23631,3
"Caroline Ansell ","@Caroline_Ansell","Conservative","Eastbourne",6682,3
"Carol Monaghan ","@CMonaghanSNP","Scottish National Party","Glasgow North West",21244,5
"Carla Lockhart","@carlalockhart","Democratic Unionist Party","Upper Bann",14079,-8
