"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Rachel Hopkins","@rach_hopkins","Labour","Luton South",10656,12
"Rachael Maskell ","@RachaelMaskell","Labour","York Central",37004,3
"Priti Patel ","@pritipatel","Conservative","Witham",456661,-21
"Preet Gill","@PreetKGillMP","Labour","Birmingham, Edgbaston",46756,2
"Philip Dunne","@Dunne4Ludlow","Conservative","Ludlow",13619,3
"Philip Davies ","@PhilipDaviesUK","Conservative","Shipley",22391,2
"Peter Kyle ","@peterkyle","Labour","Hove",59708,4
"Peter Grant ","@PeterGrantMP","Scottish National Party","Glenrothes",16874,10
"Peter Gibson","@Gibbo4Darlo","Conservative","Darlington",5310,3
"Peter Dowd ","@Peter_Dowd","Labour","Bootle",19262,-1
"Peter Bottomley","@PBottomleyMP","Conservative","Worthing West",6474,4
"Peter Bone ","@PeterBoneUK","Conservative","Wellingborough",49094,-11
"Peter Aldous ","@peter_aldous","Conservative","Waveney",15093,-2
"Pete Wishart ","@PeteWishart","Scottish National Party","Perth and North Perthshire",61851,14
"Penny Mordaunt ","@PennyMordaunt","Conservative","Portsmouth North",242049,24
"Pauline Latham ","@Pauline_Latham","Conservative","Mid Derbyshire",22488,5
"Paula Barker","@PaulaBarkerMP","Labour","Liverpool, Wavertree",18716,2
"Paul Scully ","@scullyp","Conservative","Sutton and Cheam",18978,1
"Paul Maynard ","@PaulMaynardUK","Conservative","Blackpool North and Cleveleys",19802,2
"Paul Maskey ","@PaulMaskeyMP","Sinn Féin","Belfast West",20882,-1
"Paul Howell","@PaulHowellMP","Conservative","Sedgefield",4750,-2
"Paul Holmes","@pauljholmes","Conservative","Eastleigh",9529,1
"Paul Girvan","@PaulGirvanMP","Democratic Unionist Party","South Antrim",6539,0
"Paul Bristow","@paulbristow79","Conservative","Peterborough",14533,1
"Paul Blomfield ","@PaulBlomfieldMP","Labour","Sheffield Central",23532,0
"Patrick Grady ","@GradySNP","Independent","Glasgow North",16686,-1
"Patricia Gibson ","@PGibsonSNP","Scottish National Party","North Ayrshire and Arran",13687,5
"Pat McFadden ","@patmcfaddenmp","Labour","Wolverhampton South East",30636,12
"Owen Thompson ","@OwenThompson","Scottish National Party","Midlothian",8772,-1
"Órfhlaith Begley","@OrfhlaithBegley","Sinn Féin","West Tyrone",14373,8
"Olivia Frances Blake","@_OliviaBlake","Labour","Sheffield, Hallam",20464,2
"Oliver Heald QC ","@OliverHealdUK","Conservative","North East Hertfordshire",12780,-1
"Oliver Dowden","@OliverDowden","Conservative","Hertsmere",45067,-6
"Nusrat Ghani ","@Nus_Ghani","Conservative","Wealden",30795,-2
"Nigel Mills ","@nigelmills","Conservative","Amber Valley",7176,2
"Nigel Huddleston ","@HuddlestonNigel","Conservative","Mid Worcestershire",20667,19
"Nigel Evans","@nigelmp","Conservative","Ribble Valley",13691,-3
"Nigel Adams","@nadams","Conservative","Selby and Ainsty",14952,1
"Nicola Faye Richards","@nicolafrichards","Conservative","West Bromwich East",11212,4
"Nickie Aiken","@twocitiesnickie","Conservative","Cities of London and Westminster",6372,-2
"Nick Thomas-Symonds ","@NickTorfaen","Labour","Torfaen",35385,12
"Nick Smith ","@BlaenauGwentMP","Labour","Blaenau Gwent",11445,6
"Nick Gibb","@NickGibbUK","Conservative","Bognor Regis and Littlehampton",19954,10
"Nicholas Fletcher","@NickFletcherMP","Conservative","Don Valley",8109,30
"Nia Griffith ","@NiaGriffithMP","Labour","Llanelli",19786,8
"Neil O'Brien","@NeilDotObrien","Conservative","Harborough",34375,-2
"Neil Hudson","@DrNeilHudson","Conservative","Penrith and The Border",5535,3
"Neil Coyle ","@coyleneil","Labour","Bermondsey and Old Southwark",28469,0
"Neale Hanvey","@JNHanvey","Alba Party","Kirkcaldy and Cowdenbeath",12766,11
"Naz Shah ","@NazShahBfd","Labour","Bradford West",62144,-8
"Nav Mishra","@NavPMishra","Labour","Stockport",14032,1
"Natalie Elphicke","@NatalieElphicke","Conservative","Dover",8216,1
"Nadine Dorries ","@NadineDorries","Conservative","Mid Bedfordshire",188234,115
"Nadia Whittome","@NadiaWhittomeMP","Labour","Nottingham East",118461,-13
"Nadhim Zahawi ","@nadhimzahawi","Conservative","Stratford-on-Avon",111452,5
"Munira Wilson","@munirawilson","Liberal Democrat","Twickenham",19383,11
"Mohammad Yasin","@YasinForBedford","Labour","Bedford",3755,-1
"Mims Davies ","@mimsdavies","Conservative","Mid Sussex",19033,2
"Mike Wood ","@mikejwood","Conservative","Dudley South",8804,2
"Mike Kane ","@MikeKaneMP","Labour","Wythenshawe and Sale East",12755,2
"Mike Amesbury","@MikeAmesburyMP","Labour","Weaver Vale",13011,1
"Mickey Brady ","@MickeyBradySF","Sinn Féin","Newry and Armagh",5626,2
"Mick Whitley","@MickWhitleyMP","Labour","Birkenhead",14317,2
"Michelle Gildernew","@gildernewm","Sinn Féin","Fermanagh and South Tyrone",21960,0
"Michelle Donelan ","@michelledonelan","Conservative","Chippenham",35521,5
"Michael Tomlinson ","@Michael4MDNP","Conservative","Mid Dorset and North Poole",11935,1
"Michael Gove ","@michaelgove","Conservative","Surrey Heath",258669,-10
"Michael Fabricant ","@Mike_Fabricant","Conservative","Lichfield",68954,7
"Michael Ellis ","@Michael_Ellis1","Conservative","Northampton North",16255,0
"Mhairi Black ","@MhairiBlack","Scottish National Party","Paisley and Renfrewshire South",247442,-16
"Mel Stride","@MelJStride","Conservative","Central Devon",11155,9
"Meg Hillier ","@Meg_HillierMP","Labour","Hackney South and Shoreditch",22225,16
"Matthew Pennycook ","@mtpennycook","Labour","Greenwich and Woolwich",25559,-4
"Matthew Offord","@Offord4Hendon","Conservative","Hendon",11899,1
"Matthew Hancock ","@MattHancock","Independent","West Suffolk",440855,-52
"Matt Western","@MattWestern_","Labour","Warwick and Leamington",14008,4
"Matt Warman ","@mattwarman","Conservative","Boston and Skegness",20149,-4
"Matt Vickers","@Matt_VickersMP","Conservative","Stockton South",7868,1
"Matt Rodda","@MattRodda","Labour","Reading East",7986,0
"Mary Robinson ","@MaryRobinson01","Conservative","Cheadle",11681,5
"Mary Glindon","@GlindonMary","Labour","North Tyneside",1520,4
"Mary Foy","@marykfoy","Labour","City of Durham",18395,2
"Martyn Day ","@MartynDaySNP","Scottish National Party","Linlithgow and East Falkirk",11728,3
"Martin Vickers ","@MartinVickers","Conservative","Cleethorpes",12803,0
"Martin Docherty-Hughes","@MartinJDocherty","Scottish National Party","West Dunbartonshire",15854,453
"Marsha de Cordova","@MarshadeCordova","Labour","Battersea",41968,2
"Mark Tami ","@MarkTamiMP","Labour","Alyn and Deeside",10627,-2
"Mark Spencer ","@Mark_Spencer","Conservative","Sherwood",24646,4
"Mark Pritchard ","@MPritchardUK","Conservative","The Wrekin",13178,0
"Mark Pawsey ","@MarkPawsey","Conservative","Rugby",9126,2
"Mark Jenkinson","@markjenkinsonmp","Conservative","Workington",14709,3
"Mark Hendrick","@MpHendrick","Labour","Preston",6347,0
"Mark Harper ","@Mark_J_Harper","Conservative","Forest of Dean",51880,-6
"Mark Garnier ","@Mark4WyreForest","Conservative","Wyre Forest",17346,0
"Mark Eastwood","@mark4dewsbury","Conservative","Dewsbury",6249,1
"Marion Fellows ","@marionfellows","Scottish National Party","Motherwell and Wishaw",13037,3
"Marie Rimmer ","@MarieRimmer","Labour","St Helens South and Whiston",14209,1
"Maria Miller ","@MariaMillerUK","Conservative","Basingstoke",21789,4
"Maria Eagle ","@meaglemp","Labour","Garston and Halewood",48448,-4
"Maria Caulfield ","@mariacaulfield","Conservative","Lewes",26611,7
"Margaret Hodge ","@margarethodge","Labour","Barking",56455,7
"Margaret Greenwood ","@MGreenwoodWW","Labour","Wirral West",22666,2
"Margaret Ferrier ","@MargaretFerrier","Independent","Rutherglen and Hamilton West",15605,-1
"Marcus Jones ","@Marcus4Nuneaton","Conservative","Nuneaton",11636,-2
"Marcus Fysh ","@MarcusFysh","Conservative","Yeovil",25717,-3
"Marco Longhi","@marcolonghi4dn","Conservative","Dudley North",6963,4
"Maggie Throup ","@maggie_erewash","Conservative","Erewash",4546,0
"Lyn Brown ","@lynbrownmp","Labour","West Ham",15373,2
"Luke Pollard","@LukePollard","Labour","Plymouth, Sutton and Devonport",48713,6
"Luke Hall ","@LukeHall","Conservative","Thornbury and Yate",6191,-1
"Luke Evans","@drlukeevans","Conservative","Bosworth",11392,-2
"Lucy Powell ","@LucyMPowell","Labour","Manchester Central",67515,-2
"Lucy Frazer ","@lucyfrazermp","Conservative","South East Cambridgeshire",15788,0
"Lucy Allan ","@lucyallan","Conservative","Telford",32967,28
"Louise Haigh ","@LouHaigh","Labour","Sheffield, Heeley",60928,-4
"Louie French","@louie_french","Conservative","Old Bexley and Sidcup",5855,2
"Lloyd Russell-Moyle","@lloyd_rm","Labour","Brighton, Kemptown",34201,-7
"Liz Twist","@LizTwistMP","Labour","Blaydon",5196,0
"Liz Saville Roberts ","@LSRPlaid","Plaid Cymru","Dwyfor Meirionnydd",23816,1
"Liz Kendall ","@leicesterliz","Labour","Leicester West",95566,-4
"Lisa Nandy ","@lisanandy","Labour","Wigan",304497,18
"Lisa Cameron","@DrLisaCameronMP","Scottish National Party","East Kilbride, Strathaven and Lesmahagow",15390,7
"Lindsay Hoyle","@LindsayHoyle_MP","Speaker","Chorley",41980,-3
"Lilian Greenwood ","@LilianGreenwood","Labour","Nottingham South",31447,5
"Liam Byrne ","@liambyrnemp","Labour","Birmingham, Hodge Hill",39088,-4
"Lia Nici","@lia_nici","Conservative","Great Grimsby",5769,7
"Leo Docherty","@LeoDochertyUK","Conservative","Aldershot",11963,9
"Lee Benjamin Rowley","@Lee4NED","Conservative","North East Derbyshire",12649,0
"Lee Anderson","@LeeAndersonMP_","Conservative","Ashfield",86550,75
"Layla Moran","@LaylaMoran","Liberal Democrat","Oxford West and Abingdon",83066,-1
"Laurence Robertson ","@lrobertsonTewks","Conservative","Tewkesbury",5564,2
"Laura Farris","@Laura__Farris","Conservative","Newbury",9782,8
"Kwasi Kwarteng ","@KwasiKwarteng","Conservative","Spelthorne",93281,-15
"Kit Malthouse ","@kitmalthouse","Conservative","North West Hampshire",23156,-3
"Kirsty Blackman ","@KirstySNP","Scottish National Party","Aberdeen North",28572,8
"Kirsten Oswald ","@kirstenoswald","Scottish National Party","East Renfrewshire",17618,2
"Kim Johnson","@KimJohnsonMP","Labour","Liverpool, Riverside",20585,-1
"Kieran John Mullan","@KieranMullanUK","Conservative","Crewe and Nantwich",5724,2
"Khalid Mahmood","@khalid4PB","Labour","Birmingham, Perry Barr",7683,-1
"Kevin Hollinrake ","@kevinhollinrake","Conservative","Thirsk and Malton",13950,6
"Kevin Foster ","@kevin_j_foster","Conservative","Torbay",9655,1
"Kevin Brennan ","@KevinBrennanMP","Labour","Cardiff West",28233,0
"Kevan Jones ","@KevanJonesMP","Labour","North Durham",24291,3
"Kerry McCarthy ","@KerryMP","Labour","Bristol East",32991,-2
"Kenny MacAskill","@KennyMacAskill","Alba Party","East Lothian",20174,0
"Kemi Badenoch","@KemiBadenoch","Conservative","Saffron Walden",146105,-32
"Kelly Tolhurst ","@KellyTolhurst","Conservative","Rochester and Strood",17075,-2
"Keir Starmer ","@Keir_Starmer","Labour","Holborn and St Pancras",1410944,9
"Katherine Fletcher","@K_Fletcher_MP","Conservative","South Ribble",6466,2
"Kate Osborne","@KateOsborneMP","Labour","Jarrow",23669,8
"Kate Osamor ","@KateOsamor","Labour","Edmonton",36493,1
"Kate Hollern ","@Kate_HollernMP","Labour","Blackburn",10802,-1
"Karl Turner ","@KarlTurnerMP","Labour","Kingston upon Hull East",52546,182
"Karl McCartney ","@karlmccartney","Conservative","Lincoln",12199,24
"Karin Smyth ","@karinsmyth","Labour","Bristol South",15690,0
"Karen Buck ","@KarenPBuckMP","Labour","Westminster North",19466,5
"Justin Tomlinson ","@JustinTomlinson","Conservative","North Swindon",22132,0
"Justin Madders ","@justinmadders","Labour","Ellesmere Port and Neston",32332,-4
"Julie Marson","@JulieMarsonMP","Conservative","Hertford and Stortford",5839,3
"Julie Elliott ","@JulieElliottMP","Labour","Sunderland Central",22780,9
"Julian Sturdy","@JulianSturdy","Conservative","York Outer",3817,1
"Julian Smith ","@JulianSmithUK","Conservative","Skipton and Ripon",39874,1
"Julian Knight ","@julianknight15","Conservative","Solihull",14541,-2
"Julia Lopez","@JuliaLopezMP","Conservative","Hornchurch and Upminster",9630,2
"Judith Cummins ","@JudithCummins","Labour","Bradford South",15904,2
"Joy Morrissey","@joymorrissey","Conservative","Beaconsfield",19655,2
"Jonathan Reynolds ","@jreynoldsMP","Labour","Stalybridge and Hyde",57888,2
"Jonathan Lord","@JonathanLord","Conservative","Woking",4198,4
"Jonathan Djanogly ","@JDjanogly","Conservative","Huntingdon",20391,-1
"Jonathan Ashworth ","@JonAshworth","Labour","Leicester South",119773,-8
"Jon Trickett ","@jon_trickett","Labour","Hemsworth",97293,-2
"Jon Cruddas ","@JonCruddas_1","Labour","Dagenham and Rainham",22083,0
"Johnny Mercer ","@JohnnyMercerUK","Conservative","Plymouth, Moor View",137443,13
"Johnny McNally","@JohnMcNallySNP","Scottish National Party","Falkirk",9649,2
"John Whittingdale ","@JWhittingdale","Conservative","Maldon",9342,0
"John Stevenson ","@John4Carlisle","Conservative","Carlisle",15384,-1
"John Spellar ","@spellar","Labour","Warley",12555,1
"John Redwood ","@johnredwood","Conservative","Wokingham",197025,19
"John Penrose ","@JohnPenroseNews","Conservative","Weston-super-Mare",37943,1
"John Nicolson ","@MrJohnNicolson","Scottish National Party","Ochil and South Perthshire",65004,96
"John McDonnell ","@johnmcdonnellMP","Labour","Hayes and Harlington",328411,5
"John Lamont","@John2Win","Conservative","Berwickshire, Roxburgh and Selkirk",13558,4
"John Howell ","@JHowellUK","Conservative","Henley",8897,-19
"John Healey ","@JohnHealey_MP","Labour","Wentworth and Dearne",34671,14
"John Glen ","@JohnGlenUK","Conservative","Salisbury",26768,4
"John Finucane","@johnfinucane","Sinn Féin","Belfast North",43177,16
"John Cryer","@JohnCryerMP","Labour","Leyton and Wanstead",7309,-1
"Joanna Cherry QC ","@joannaccherry","Scottish National Party","Edinburgh South West",129831,7
"Jo Stevens ","@JoStevensLabour","Labour","Cardiff Central",35403,8
"Jo Gideon","@jogideon","Conservative","Stoke-on-Trent Central",7157,6
"Jo Churchill ","@Jochurchill_MP","Conservative","Bury St Edmunds",15014,0
"Jim Shannon ","@JimShannonMP","Democratic Unionist Party","Strangford",5000,0
"Jim McMahon ","@JimfromOldham","Labour","Oldham West and Royton",31984,33
"Jessica Morden ","@jessicamordenmp","Labour","Newport East",17296,1
"Jesse Norman ","@Jesse_Norman","Conservative","Hereford and South Herefordshire",31354,-6
"Jess Phillips ","@jessphillips","Labour","Birmingham, Yardley",641205,65
"Jerome Mayhew","@JeromeMayhew","Conservative","Broadland",4230,0
"Jeremy Hunt ","@Jeremy_Hunt","Conservative","South West Surrey",258978,3
"Jeremy Corbyn ","@jeremycorbyn","Independent","Islington North",2519437,-97
"Jeffrey M. Donaldson ","@J_Donaldson_MP","Democratic Unionist Party","Lagan Valley",35060,-5
"Jeff Smith ","@JeffSmithetc","Labour","Manchester, Withington",12233,7
"Jason McCartney ","@JasonMcCartney","Conservative","Colne Valley",18479,1
"Janet Daby","@JanetDaby","Labour","Lewisham East",13886,1
"Jane Stevenson","@Jane_Stevenson_","Conservative","Wolverhampton North East",7037,-2
"Jane Hunt","@JaneMHunt","Conservative","Loughborough",4531,0
"Jamie Stone","@Jamie4North","Liberal Democrat","Caithness, Sutherland and Easter Ross",14956,-5
"Jamie Hamilton Wallis","@JamieWallisMP","Conservative","Bridgend",8326,-3
"James Wild","@jamesowild","Conservative","North West Norfolk",3795,-1
"James Sunderland","@JamesSunderl","Conservative","Bracknell",5676,4
"James Murray","@jamesmurray_ldn","Labour","Ealing North",10714,7
"James Morris","@JamesMorris","Conservative","Halesowen and Rowley Regis",11439,2
"James Heappey ","@JSHeappey","Conservative","Wells",22814,0
"James Gray ","@JGray","Conservative","North Wiltshire",19430,3
"James Duddridge ","@JamesDuddridge","Conservative","Rochford and Southend East",34065,3
"James Davies","@JamesDavies","Conservative","Vale of Clwyd",6735,3
"James Daly","@JamesDalyMP","Conservative","Bury North",7922,1
"James Cleverly ","@JamesCleverly","Conservative","Braintree",203051,136
"James Cartlidge ","@jcartlidgemp","Conservative","South Suffolk",12556,5
"Jake Berry ","@JakeBerry","Conservative","Rossendale and Darwen",26448,0
"Jacob Young","@JacobYoungMP","Conservative","Redcar",13530,0
"Jacob Rees-Mogg ","@Jacob_Rees_Mogg","Conservative","North East Somerset",532071,60
"Jackie Doyle-Price ","@JackieDP","Conservative","Thurrock",14481,0
"Jack Lopresti ","@JackLopresti","Conservative","Filton and Bradley Stoke",10707,5
"Jack Dromey ","@JackDromeyMP","Labour","Birmingham, Erdington",24121,-1
"Imran Hussain ","@Imran_HussainMP","Labour","Bradford East",23350,-1
"Ian Murray ","@IanMurrayMP","Labour","Edinburgh South",35944,2
"Ian Mearns ","@IanMearnsMP","Labour","Gateshead",28513,-1
"Ian Lavery ","@IanLaveryMP","Labour","Wansbeck",96401,-1
"Ian Byrne","@IanByrneMP","Labour","Liverpool, West Derby",56827,3
"Ian Blackford ","@Ianblackford_MP","Scottish National Party","Ross, Skye and Lochaber",183857,-1
"Iain Stewart ","@iainastewart","Conservative","Milton Keynes South",20707,-2
"Iain Duncan Smith","@MPIainDS","Conservative","Chingford and Woodford Green",68540,2
"Hywel Williams ","@HywelPlaidCymru","Plaid Cymru","Arfon",10736,6
"Huw Merriman ","@HuwMerriman","Conservative","Bexhill and Battle",22516,2
"Holly Lynch ","@HollyLynch5","Labour","Halifax",31846,-1
"Hilary Benn ","@hilarybennmp","Labour","Leeds Central",174462,-2
"Henry Smith ","@HenrySmithUK","Conservative","Crawley",18469,10
"Helen Whately ","@Helen_Whately","Conservative","Faversham and Mid Kent",26931,3
"Helen Morgan","@HelenMorganMP","Liberal Democrat","North Shropshire",16244,2
"Helen Hayes ","@helenhayes_","Labour","Dulwich and West Norwood",28843,14
"Helen Grant ","@HelenGrantMP","Conservative","Maidstone and The Weald",24007,4
"Heather Wheeler ","@HeatherWheeler","Conservative","South Derbyshire",21915,28
"Harriett Baldwin ","@hbaldwin","Conservative","West Worcestershire",29268,3
"Harriet Harman QC ","@HarrietHarman","Labour","Camberwell and Peckham",193174,174
"Hannah Bardell ","@HannahB4LiviMP","Scottish National Party","Livingston",27057,7
"Guy Opperman ","@GuyOpperman","Conservative","Hexham",26367,5
"Greg Smith","@gregsmith_uk","Conservative","Buckingham",9689,9
"Greg Knight ","@GregKnight","Conservative","East Yorkshire",12662,-1
"Greg Hands ","@GregHands","Conservative","Chelsea and Fulham",58532,25
"Greg Clark","@GregClarkMP","Conservative","Tunbridge Wells",33725,-1
"Grant Shapps ","@grantshapps","Conservative","Welwyn Hatfield",178429,-32
"Grahame Morris ","@grahamemorris","Labour","Easington",33240,1
"Graham Stuart ","@grahamstuart","Conservative","Beverley and Holderness",22079,0
"Graham Brady","@SirGrahamBrady","Conservative","Altrincham and Sale West",27403,-5
"Gillian Keegan","@GillianKeegan","Conservative","Chichester",32418,16
"Gill Furniss ","@GillFurnissMP","Labour","Sheffield, Brightside and Hillsborough",7958,1
